ph,turbidity_ntu,tds_ppm,temperature_c,risk_label
7.05,43.3,647.8,26.4,MICROBIAL_RISK
7.12,0.77,381.7,27.0,SAFE
6.4,10.41,661.4,24.6,IRON_MANGANESE_RISK
4.91,8.51,1253.5,30.4,ACID_MINE_DRAINAGE_RISK
7.4,0.15,279.4,26.7,SAFE
7.65,0.15,412.3,23.6,SAFE
8.68,1.63,1543.3,32.2,FLUORIDE_RISK
4.92,6.49,929.4,26.9,ACID_MINE_DRAINAGE_RISK
7.43,0.92,253.8,26.5,SAFE
7.34,0.3,292.5,26.4,SAFE
7.19,28.1,531.7,28.5,MICROBIAL_RISK
8.01,31.25,468.2,33.7,MICROBIAL_RISK
5.62,6.96,1647.5,25.0,ACID_MINE_DRAINAGE_RISK
7.24,0.36,211.6,22.7,SAFE
7.16,12.7,563.5,31.1,MICROBIAL_RISK
7.69,1.55,379.4,29.4,SAFE
5.81,5.33,671.7,30.4,ACID_MINE_DRAINAGE_RISK
7.21,30.23,225.7,28.2,MICROBIAL_RISK
7.3,0.98,323.8,24.1,SAFE
6.66,1.95,210.5,26.6,SAFE
5.94,19.11,699.8,24.5,IRON_MANGANESE_RISK
5.17,10.38,1142.5,29.9,ACID_MINE_DRAINAGE_RISK
4.95,8.93,1261.3,30.4,ACID_MINE_DRAINAGE_RISK
6.27,12.63,390.4,28.9,IRON_MANGANESE_RISK
4.94,8.29,1475.6,27.2,ACID_MINE_DRAINAGE_RISK
7.69,1.89,346.5,19.9,SAFE
5.07,6.48,1200.8,29.8,ACID_MINE_DRAINAGE_RISK
6.72,0.15,231.9,26.5,SAFE
7.27,0.76,396.4,23.7,SAFE
7.11,0.21,254.8,23.3,SAFE
7.26,0.24,237.2,25.2,SAFE
5.72,11.2,682.1,25.8,IRON_MANGANESE_RISK
6.33,11.05,736.9,24.9,IRON_MANGANESE_RISK
4.36,2.71,1441.7,31.1,ACID_MINE_DRAINAGE_RISK
7.2,0.27,366.1,25.9,SAFE
4.52,6.7,1480.9,20.9,ACID_MINE_DRAINAGE_RISK
7.0,0.11,206.2,21.8,SAFE
7.04,0.18,337.5,27.7,SAFE
6.4,19.92,661.6,24.3,IRON_MANGANESE_RISK
4.84,10.46,1003.0,25.3,ACID_MINE_DRAINAGE_RISK
7.67,0.36,472.8,25.1,SAFE
7.35,0.16,283.4,23.1,SAFE
7.06,0.21,250.9,17.5,SAFE
7.37,26.09,411.1,28.8,MICROBIAL_RISK
7.6,0.76,327.9,27.3,SAFE
5.66,4.6,958.9,24.5,ACID_MINE_DRAINAGE_RISK
4.12,6.62,1164.9,24.7,ACID_MINE_DRAINAGE_RISK
6.84,0.49,341.4,23.0,SAFE
7.32,0.19,400.5,23.3,SAFE
7.74,0.64,381.7,17.6,SAFE
6.98,1.69,349.7,23.2,SAFE
9.05,3.06,1414.0,28.8,FLUORIDE_RISK
6.25,12.27,709.2,25.2,IRON_MANGANESE_RISK
5.74,15.44,609.5,27.9,IRON_MANGANESE_RISK
5.79,9.97,369.4,25.3,IRON_MANGANESE_RISK
5.93,14.06,614.1,27.6,IRON_MANGANESE_RISK
5.24,8.43,730.4,29.9,ACID_MINE_DRAINAGE_RISK
7.5,0.56,419.8,25.5,SAFE
7.4,0.32,386.4,22.4,SAFE
7.9,1.36,352.2,28.1,SAFE
7.1,1.22,298.4,22.1,SAFE
6.27,11.79,794.6,27.9,IRON_MANGANESE_RISK
5.35,11.19,906.6,23.9,ACID_MINE_DRAINAGE_RISK
7.37,0.41,386.8,27.0,SAFE
7.28,0.63,515.7,25.4,SAFE
8.01,1.63,367.2,22.6,SAFE
5.38,3.15,1571.7,27.5,ACID_MINE_DRAINAGE_RISK
8.93,1.01,1412.3,28.6,FLUORIDE_RISK
5.76,5.03,1066.6,29.7,ACID_MINE_DRAINAGE_RISK
7.07,0.34,388.2,18.0,SAFE
8.51,0.76,1349.3,32.7,FLUORIDE_RISK
6.85,0.22,308.1,16.9,SAFE
8.88,2.66,896.5,26.0,FLUORIDE_RISK
7.31,25.85,387.2,35.1,MICROBIAL_RISK
7.32,0.93,335.8,24.6,SAFE
8.33,0.14,231.4,24.2,SAFE
6.0,1.3,789.8,24.1,ACID_MINE_DRAINAGE_RISK
7.38,1.29,308.0,26.6,SAFE
6.86,0.12,460.2,26.5,SAFE
6.17,16.89,480.6,25.0,IRON_MANGANESE_RISK
6.55,12.6,615.6,27.6,IRON_MANGANESE_RISK
8.62,1.51,1797.8,25.8,FLUORIDE_RISK
7.55,1.46,346.1,21.2,SAFE
4.36,4.46,1428.9,22.6,ACID_MINE_DRAINAGE_RISK
6.79,0.58,460.4,19.7,SAFE
8.74,1.36,1569.7,28.4,FLUORIDE_RISK
9.23,1.53,1853.8,33.9,FLUORIDE_RISK
7.57,0.19,216.9,25.3,SAFE
7.38,0.29,241.7,31.0,SAFE
6.62,15.02,797.4,29.3,IRON_MANGANESE_RISK
7.71,1.57,172.7,21.2,SAFE
4.89,7.0,741.4,28.5,ACID_MINE_DRAINAGE_RISK
6.93,0.86,211.9,26.7,SAFE
4.05,7.73,1146.2,24.9,ACID_MINE_DRAINAGE_RISK
7.58,0.28,273.9,25.4,SAFE
4.09,8.97,1012.0,27.6,ACID_MINE_DRAINAGE_RISK
7.29,0.8,461.7,20.3,SAFE
6.28,16.53,795.9,27.2,IRON_MANGANESE_RISK
6.67,0.16,314.0,26.9,SAFE
7.73,0.89,329.6,26.7,SAFE
6.72,12.19,744.9,22.9,IRON_MANGANESE_RISK
7.08,31.44,544.9,30.5,MICROBIAL_RISK
8.52,2.16,1386.0,31.3,FLUORIDE_RISK
6.38,17.75,572.6,26.2,IRON_MANGANESE_RISK
7.12,0.18,337.8,23.6,SAFE
7.2,0.33,330.8,29.3,SAFE
7.38,0.69,341.4,27.7,SAFE
7.59,1.06,323.8,23.4,SAFE
5.95,8.8,1178.5,22.8,ACID_MINE_DRAINAGE_RISK
5.87,12.32,607.7,23.3,IRON_MANGANESE_RISK
6.93,0.26,317.2,25.7,SAFE
6.87,1.9,374.6,28.0,SAFE
8.84,3.65,1250.8,31.4,FLUORIDE_RISK
6.07,4.91,967.3,25.4,ACID_MINE_DRAINAGE_RISK
6.23,12.02,624.8,25.3,IRON_MANGANESE_RISK
6.05,10.67,720.7,24.9,IRON_MANGANESE_RISK
7.55,0.56,443.8,30.4,SAFE
7.15,0.18,366.7,25.9,SAFE
6.5,10.6,665.7,22.5,IRON_MANGANESE_RISK
6.8,0.87,252.7,25.0,SAFE
7.09,1.24,337.9,14.6,SAFE
4.58,5.28,1361.0,28.7,ACID_MINE_DRAINAGE_RISK
8.04,1.37,367.3,28.3,SAFE
9.02,2.37,1600.7,30.6,FLUORIDE_RISK
6.81,16.59,624.9,26.3,IRON_MANGANESE_RISK
7.02,1.12,359.6,25.1,SAFE
7.81,0.3,335.3,25.1,SAFE
5.55,3.12,1473.8,27.5,ACID_MINE_DRAINAGE_RISK
7.4,2.08,446.2,28.6,SAFE
8.47,1.44,1508.2,31.2,FLUORIDE_RISK
6.89,0.62,415.6,20.4,SAFE
7.45,0.11,277.9,29.7,SAFE
6.38,7.2,589.0,23.5,IRON_MANGANESE_RISK
6.35,9.92,756.3,26.5,IRON_MANGANESE_RISK
6.23,13.11,478.0,25.8,IRON_MANGANESE_RISK
5.48,2.69,927.0,26.9,ACID_MINE_DRAINAGE_RISK
8.97,1.23,1249.3,28.7,FLUORIDE_RISK
7.21,1.3,360.4,24.9,SAFE
7.44,0.98,356.5,26.4,SAFE
5.46,6.99,1277.3,26.8,ACID_MINE_DRAINAGE_RISK
7.88,0.18,265.9,30.4,SAFE
7.0,0.62,318.9,27.5,SAFE
7.04,0.46,283.8,17.7,SAFE
5.71,3.77,1193.0,28.2,ACID_MINE_DRAINAGE_RISK
6.91,0.27,316.2,32.2,SAFE
6.39,13.12,654.0,26.4,IRON_MANGANESE_RISK
6.48,0.36,239.9,24.2,SAFE
5.69,8.06,976.6,25.9,ACID_MINE_DRAINAGE_RISK
7.86,0.12,394.0,30.4,SAFE
9.01,2.52,1640.6,31.1,FLUORIDE_RISK
7.09,1.45,425.4,25.6,SAFE
5.34,11.96,1007.6,27.5,ACID_MINE_DRAINAGE_RISK
7.04,1.33,281.3,21.9,SAFE
6.24,13.9,971.3,29.5,IRON_MANGANESE_RISK
7.47,3.47,323.0,25.4,SAFE
7.1,0.12,336.9,24.2,SAFE
8.4,2.55,1711.9,23.8,FLUORIDE_RISK
6.94,2.74,195.1,31.0,SAFE
6.72,13.85,624.1,27.8,IRON_MANGANESE_RISK
7.62,0.24,334.3,29.4,SAFE
6.81,15.61,547.2,26.6,IRON_MANGANESE_RISK
4.93,7.86,1007.3,28.9,ACID_MINE_DRAINAGE_RISK
6.16,0.64,291.0,21.6,SAFE
7.42,18.03,652.9,28.6,MICROBIAL_RISK
7.28,0.26,358.2,18.7,SAFE
6.48,7.77,585.8,29.0,IRON_MANGANESE_RISK
7.64,0.21,294.3,31.2,SAFE
6.51,19.19,604.5,26.8,IRON_MANGANESE_RISK
7.27,0.55,317.0,24.6,SAFE
8.59,1.86,850.5,30.8,FLUORIDE_RISK
5.31,1.25,1834.4,24.8,ACID_MINE_DRAINAGE_RISK
7.46,0.32,244.9,26.9,SAFE
6.21,21.66,621.4,26.4,IRON_MANGANESE_RISK
6.39,22.01,794.4,26.6,IRON_MANGANESE_RISK
5.76,9.47,1259.7,24.1,ACID_MINE_DRAINAGE_RISK
6.99,0.74,343.7,24.8,SAFE
9.0,2.07,1880.6,29.9,FLUORIDE_RISK
5.31,9.47,793.1,28.5,ACID_MINE_DRAINAGE_RISK
6.61,19.16,610.8,26.2,IRON_MANGANESE_RISK
6.89,0.34,217.8,20.1,SAFE
6.1,5.39,554.2,23.4,IRON_MANGANESE_RISK
7.37,0.76,264.0,22.9,SAFE
8.2,1.29,120.0,31.9,SAFE
6.84,0.41,197.4,28.1,SAFE
6.56,8.2,1243.9,26.4,ACID_MINE_DRAINAGE_RISK
9.02,1.2,1365.8,24.3,FLUORIDE_RISK
7.26,0.32,334.4,29.2,SAFE
7.91,0.29,381.8,22.1,SAFE
7.21,0.79,328.4,21.0,SAFE
6.45,10.25,859.6,25.8,IRON_MANGANESE_RISK
5.18,5.43,1130.6,28.4,ACID_MINE_DRAINAGE_RISK
6.31,15.6,724.9,23.4,IRON_MANGANESE_RISK
4.35,4.77,920.4,29.2,ACID_MINE_DRAINAGE_RISK
6.95,10.69,685.9,24.4,IRON_MANGANESE_RISK
4.39,7.27,1258.4,28.0,ACID_MINE_DRAINAGE_RISK
7.79,0.57,449.9,23.3,SAFE
4.28,7.29,1099.5,28.0,ACID_MINE_DRAINAGE_RISK
4.64,10.69,961.6,28.4,ACID_MINE_DRAINAGE_RISK
7.95,0.15,273.5,22.0,SAFE
7.07,0.54,304.2,25.7,SAFE
8.43,2.17,2085.4,25.6,FLUORIDE_RISK
6.03,20.69,712.9,24.6,IRON_MANGANESE_RISK
5.07,4.02,1257.4,24.7,ACID_MINE_DRAINAGE_RISK
5.15,4.66,1409.0,29.7,ACID_MINE_DRAINAGE_RISK
9.08,1.37,1027.9,28.7,FLUORIDE_RISK
6.63,23.28,709.0,26.4,IRON_MANGANESE_RISK
7.18,1.15,376.6,27.9,SAFE
6.87,0.37,248.8,19.5,SAFE
7.5,0.46,351.1,32.5,SAFE
8.98,1.8,1334.5,29.7,FLUORIDE_RISK
8.92,1.72,1725.7,27.8,FLUORIDE_RISK
9.07,2.28,1297.9,27.9,FLUORIDE_RISK
5.42,4.25,1107.0,27.0,ACID_MINE_DRAINAGE_RISK
4.96,6.99,1716.2,26.2,ACID_MINE_DRAINAGE_RISK
6.4,8.75,490.2,25.4,IRON_MANGANESE_RISK
7.5,0.44,324.3,25.2,SAFE
3.91,7.21,901.7,28.4,ACID_MINE_DRAINAGE_RISK
6.02,13.15,873.6,26.3,IRON_MANGANESE_RISK
6.97,23.49,470.7,29.3,MICROBIAL_RISK
7.02,0.81,321.3,22.8,SAFE
7.27,37.53,633.9,27.0,MICROBIAL_RISK
4.47,5.98,1067.9,29.5,ACID_MINE_DRAINAGE_RISK
6.83,1.15,175.8,27.6,SAFE
7.6,0.42,288.7,25.0,SAFE
7.08,0.56,351.3,22.0,SAFE
5.08,9.49,1060.4,26.9,ACID_MINE_DRAINAGE_RISK
6.93,0.34,306.2,30.1,SAFE
6.95,1.02,137.9,23.0,SAFE
6.71,7.6,589.0,25.8,IRON_MANGANESE_RISK
5.65,8.36,1174.8,30.3,ACID_MINE_DRAINAGE_RISK
7.92,0.54,356.8,23.0,SAFE
4.96,6.73,1159.2,25.9,ACID_MINE_DRAINAGE_RISK
6.76,0.36,242.3,27.0,SAFE
7.76,0.21,342.6,22.9,SAFE
6.7,10.97,436.7,29.0,IRON_MANGANESE_RISK
7.41,0.99,246.0,26.4,SAFE
8.17,2.17,268.5,27.8,SAFE
7.68,42.39,609.5,31.2,MICROBIAL_RISK
6.29,10.64,493.3,22.1,IRON_MANGANESE_RISK
5.45,6.87,979.0,26.2,ACID_MINE_DRAINAGE_RISK
7.42,0.3,385.3,25.9,SAFE
6.48,13.33,692.4,25.5,IRON_MANGANESE_RISK
6.88,17.55,760.2,23.9,IRON_MANGANESE_RISK
5.4,7.5,937.2,25.7,ACID_MINE_DRAINAGE_RISK
5.45,7.74,1280.9,32.8,ACID_MINE_DRAINAGE_RISK
5.75,7.91,659.8,28.9,ACID_MINE_DRAINAGE_RISK
5.33,4.94,1219.5,26.4,ACID_MINE_DRAINAGE_RISK
7.29,0.88,423.0,23.7,SAFE
7.97,0.67,351.6,23.5,SAFE
6.07,13.46,652.2,24.4,IRON_MANGANESE_RISK
7.36,16.4,387.2,29.1,MICROBIAL_RISK
8.65,3.18,1330.1,29.1,FLUORIDE_RISK
7.67,0.42,197.9,28.8,SAFE
6.45,10.66,982.1,25.4,IRON_MANGANESE_RISK
7.92,0.59,480.5,29.9,SAFE
6.69,17.11,567.3,24.4,IRON_MANGANESE_RISK
7.3,0.34,375.7,27.9,SAFE
5.57,17.2,585.2,24.2,IRON_MANGANESE_RISK
5.05,6.2,1478.4,28.6,ACID_MINE_DRAINAGE_RISK
7.18,32.61,743.4,27.8,MICROBIAL_RISK
6.33,10.16,594.2,28.2,IRON_MANGANESE_RISK
4.35,7.37,747.3,24.1,ACID_MINE_DRAINAGE_RISK
7.36,0.31,178.5,28.1,SAFE
6.34,16.05,570.1,23.7,IRON_MANGANESE_RISK
6.15,0.15,317.8,30.3,SAFE
5.64,8.45,1188.7,24.3,ACID_MINE_DRAINAGE_RISK
7.61,1.98,418.2,22.1,SAFE
6.94,1.52,252.8,22.2,SAFE
6.85,12.92,646.8,24.5,IRON_MANGANESE_RISK
7.34,0.42,229.5,27.2,SAFE
7.19,0.75,325.4,26.5,SAFE
8.87,1.32,1715.4,26.2,FLUORIDE_RISK
7.42,17.97,555.2,27.3,MICROBIAL_RISK
5.15,7.37,897.9,26.2,ACID_MINE_DRAINAGE_RISK
7.01,1.24,255.2,28.1,SAFE
8.37,1.28,296.4,25.5,SAFE
6.15,14.34,489.2,20.2,IRON_MANGANESE_RISK
7.12,0.42,480.8,26.9,SAFE
8.12,0.53,305.4,29.1,SAFE
7.05,0.28,368.2,23.6,SAFE
6.11,8.22,664.2,25.3,IRON_MANGANESE_RISK
5.41,8.71,1080.5,26.5,ACID_MINE_DRAINAGE_RISK
8.58,0.74,285.9,28.4,SAFE
5.85,14.8,704.4,28.7,IRON_MANGANESE_RISK
4.83,9.7,1117.0,29.1,ACID_MINE_DRAINAGE_RISK
7.69,0.33,372.5,24.0,SAFE
7.14,1.45,243.6,26.3,SAFE
4.66,7.01,1147.9,27.6,ACID_MINE_DRAINAGE_RISK
5.05,7.63,834.4,28.1,ACID_MINE_DRAINAGE_RISK
8.54,1.6,1459.8,27.8,FLUORIDE_RISK
5.45,7.31,1148.6,26.1,ACID_MINE_DRAINAGE_RISK
7.41,0.57,344.3,22.0,SAFE
5.78,6.09,1426.5,26.8,ACID_MINE_DRAINAGE_RISK
5.73,10.0,574.3,27.7,IRON_MANGANESE_RISK
7.52,0.26,288.7,22.2,SAFE
5.56,9.64,720.4,30.1,ACID_MINE_DRAINAGE_RISK
6.52,13.9,514.4,26.6,IRON_MANGANESE_RISK
6.76,9.51,589.7,27.0,IRON_MANGANESE_RISK
6.66,8.62,669.0,29.9,IRON_MANGANESE_RISK
7.71,1.77,214.7,26.1,SAFE
6.55,9.15,775.1,26.5,IRON_MANGANESE_RISK
5.49,6.17,856.4,29.8,ACID_MINE_DRAINAGE_RISK
5.03,7.13,1084.1,26.5,ACID_MINE_DRAINAGE_RISK
6.92,0.91,302.3,26.3,SAFE
9.05,1.59,1671.6,30.0,FLUORIDE_RISK
7.66,0.3,277.9,26.1,SAFE
8.04,0.27,318.4,24.1,SAFE
6.66,0.31,382.3,27.9,SAFE
9.41,2.39,1255.2,28.7,FLUORIDE_RISK
6.91,28.56,659.4,28.1,MICROBIAL_RISK
7.4,1.54,398.0,26.5,SAFE
9.1,3.95,907.0,26.8,FLUORIDE_RISK
5.41,9.93,1065.6,29.4,ACID_MINE_DRAINAGE_RISK
5.83,10.87,846.4,29.0,ACID_MINE_DRAINAGE_RISK
4.95,4.39,1642.7,26.6,ACID_MINE_DRAINAGE_RISK
7.69,32.89,794.9,30.2,MICROBIAL_RISK
7.0,0.48,214.4,24.3,SAFE
6.47,0.67,248.5,23.0,SAFE
4.91,4.62,1179.8,30.4,ACID_MINE_DRAINAGE_RISK
5.33,6.05,905.2,26.5,ACID_MINE_DRAINAGE_RISK
4.91,4.51,1369.0,27.1,ACID_MINE_DRAINAGE_RISK
4.86,4.87,755.6,22.4,ACID_MINE_DRAINAGE_RISK
5.26,7.77,704.7,29.2,ACID_MINE_DRAINAGE_RISK
6.44,11.54,543.8,26.7,IRON_MANGANESE_RISK
6.44,0.18,262.5,29.6,SAFE
7.1,0.15,361.0,24.5,SAFE
6.07,19.64,635.2,26.0,IRON_MANGANESE_RISK
5.22,8.4,1195.4,28.6,ACID_MINE_DRAINAGE_RISK
6.84,0.11,328.7,19.9,SAFE
4.71,5.13,1123.2,27.4,ACID_MINE_DRAINAGE_RISK
6.89,0.88,397.6,26.3,SAFE
6.95,11.02,508.4,23.8,IRON_MANGANESE_RISK
6.82,13.0,693.3,26.5,IRON_MANGANESE_RISK
8.35,1.25,899.3,31.4,FLUORIDE_RISK
5.72,9.32,827.3,26.0,ACID_MINE_DRAINAGE_RISK
4.52,5.42,1112.4,26.6,ACID_MINE_DRAINAGE_RISK
4.76,5.98,679.1,25.0,ACID_MINE_DRAINAGE_RISK
5.91,19.09,933.7,25.1,IRON_MANGANESE_RISK
7.11,0.52,318.8,24.7,SAFE
7.46,0.12,232.1,23.9,SAFE
7.2,0.3,447.9,24.7,SAFE
8.97,2.74,1560.9,28.2,FLUORIDE_RISK
7.48,0.35,224.5,25.4,SAFE
6.04,7.13,1045.2,30.1,ACID_MINE_DRAINAGE_RISK
6.98,0.14,270.3,21.2,SAFE
6.75,12.17,609.7,27.9,MICROBIAL_RISK
5.24,5.99,1683.5,27.7,ACID_MINE_DRAINAGE_RISK
5.64,3.43,1224.2,25.8,ACID_MINE_DRAINAGE_RISK
5.04,2.69,1160.2,27.7,ACID_MINE_DRAINAGE_RISK
9.43,2.05,1332.5,29.2,FLUORIDE_RISK
7.16,1.36,350.2,24.9,SAFE
5.25,9.11,738.0,24.9,ACID_MINE_DRAINAGE_RISK
7.06,0.53,430.0,33.1,SAFE
8.82,1.76,1535.7,29.8,FLUORIDE_RISK
5.49,9.41,1048.9,26.7,ACID_MINE_DRAINAGE_RISK
5.7,8.14,1148.7,27.0,ACID_MINE_DRAINAGE_RISK
6.28,17.81,815.2,25.2,IRON_MANGANESE_RISK
7.0,1.08,248.5,22.9,SAFE
7.48,32.1,607.0,31.0,MICROBIAL_RISK
6.53,11.62,754.6,28.4,IRON_MANGANESE_RISK
6.51,18.28,646.0,24.2,IRON_MANGANESE_RISK
6.64,0.14,189.4,22.6,SAFE
6.31,14.12,741.3,25.1,IRON_MANGANESE_RISK
4.97,8.15,1334.4,23.0,ACID_MINE_DRAINAGE_RISK
6.99,0.3,386.4,24.4,SAFE
6.68,0.71,309.4,25.2,SAFE
7.41,0.73,78.4,25.6,SAFE
4.71,6.97,823.7,29.0,ACID_MINE_DRAINAGE_RISK
6.54,16.02,809.0,31.5,IRON_MANGANESE_RISK
7.0,0.51,391.2,22.9,SAFE
4.85,4.93,1103.8,29.4,ACID_MINE_DRAINAGE_RISK
6.89,1.2,251.3,28.4,SAFE
6.76,1.21,254.5,28.1,SAFE
8.7,2.48,1408.8,29.5,FLUORIDE_RISK
7.26,0.8,124.9,24.6,SAFE
5.41,4.46,1147.9,27.2,ACID_MINE_DRAINAGE_RISK
6.43,14.79,557.4,25.4,IRON_MANGANESE_RISK
6.27,14.56,711.2,25.8,IRON_MANGANESE_RISK
4.23,0.76,962.4,23.9,ACID_MINE_DRAINAGE_RISK
7.79,1.24,294.4,26.9,SAFE
4.42,5.82,1191.3,29.4,ACID_MINE_DRAINAGE_RISK
7.94,0.19,422.0,27.4,SAFE
6.82,0.85,451.4,25.6,SAFE
7.24,0.38,180.5,25.4,SAFE
6.33,10.02,265.6,25.6,IRON_MANGANESE_RISK
5.05,6.54,1234.5,26.9,ACID_MINE_DRAINAGE_RISK
4.39,9.29,1278.8,28.8,ACID_MINE_DRAINAGE_RISK
4.96,6.98,1345.2,25.1,ACID_MINE_DRAINAGE_RISK
4.36,2.83,1141.2,27.1,ACID_MINE_DRAINAGE_RISK
6.6,16.71,309.0,24.1,IRON_MANGANESE_RISK
7.26,0.93,188.5,22.9,SAFE
7.08,28.17,547.7,27.5,MICROBIAL_RISK
7.05,0.19,422.5,26.7,SAFE
5.3,5.58,775.5,30.9,ACID_MINE_DRAINAGE_RISK
6.16,8.97,614.9,26.9,IRON_MANGANESE_RISK
5.3,8.05,827.7,26.6,ACID_MINE_DRAINAGE_RISK
6.46,29.48,762.8,30.0,MICROBIAL_RISK
7.64,0.47,270.6,18.4,SAFE
7.91,0.21,206.1,24.2,SAFE
7.48,0.27,349.7,20.2,SAFE
5.38,4.71,1139.3,27.4,ACID_MINE_DRAINAGE_RISK
7.32,1.04,322.1,26.7,SAFE
6.84,31.9,736.5,29.6,MICROBIAL_RISK
7.86,0.21,414.0,29.5,SAFE
5.31,8.05,1048.1,28.6,ACID_MINE_DRAINAGE_RISK
6.79,0.33,357.6,27.1,SAFE
7.13,0.49,314.7,22.6,SAFE
7.44,0.4,212.5,20.2,SAFE
5.84,18.03,547.3,27.6,IRON_MANGANESE_RISK
5.93,3.39,922.5,25.5,ACID_MINE_DRAINAGE_RISK
8.9,1.04,1327.9,30.2,FLUORIDE_RISK
6.48,43.87,585.9,35.3,MICROBIAL_RISK
6.13,8.68,621.6,27.8,IRON_MANGANESE_RISK
6.29,0.11,711.4,23.3,IRON_MANGANESE_RISK
7.65,0.24,286.3,25.0,SAFE
5.53,7.59,1201.1,30.1,ACID_MINE_DRAINAGE_RISK
6.08,10.19,713.4,26.2,IRON_MANGANESE_RISK
7.72,0.43,375.2,17.3,SAFE
6.87,0.26,233.1,28.7,SAFE
6.65,7.1,548.4,28.4,IRON_MANGANESE_RISK
6.11,12.16,479.7,28.9,IRON_MANGANESE_RISK
5.88,14.34,528.8,24.3,IRON_MANGANESE_RISK
6.56,16.27,665.8,22.8,IRON_MANGANESE_RISK
6.64,12.46,687.5,30.0,IRON_MANGANESE_RISK
8.54,1.72,362.8,27.7,SAFE
6.64,13.7,813.1,27.8,IRON_MANGANESE_RISK
9.15,1.31,1282.5,25.7,FLUORIDE_RISK
7.72,0.6,395.0,25.0,SAFE
7.57,0.21,375.6,27.5,SAFE
7.28,0.26,356.4,27.7,SAFE
